Sağlanan Şartlar,Score %
"EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",96.4
"RSI_DIVERGENCE, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",96.4
"MACD_VOLUME, EMA_CONDITION, FIBONACCI_SUPPORT, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",95.5
"RSI_DIVERGENCE, MACD_VOLUME, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",95.5
"RSI_DIVERGENCE, EMA_CONDITION, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",95.5
"RSI_DIVERGENCE, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H",95.5
"RSI_DIVERGENCE, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",95.5
"RSI_DIVERGENCE, EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",95.5
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, FIBONACCI_SUPPORT, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",95.5
"EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",95.5
"EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",95.5
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, CYPHER_PATTERN",95.5
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",95.5
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",94.59
"MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",94.59
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",94.59
"RSI_DIVERGENCE, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, STRONG_SIGNAL, CYPHER_PATTERN",94.59
"RSI_DIVERGENCE, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",94.59
"RSI_DIVERGENCE, EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",94.59
"RSI_DIVERGENCE, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",94.59
"RSI_DIVERGENCE, EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, CYPHER_PATTERN",94.59
"RSI_DIVERGENCE, MACD_VOLUME, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",94.59
"RSI_DIVERGENCE, MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",94.59
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, SUPER_TREND, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",94.59
"RSI_DIVERGENCE, MACD_VOLUME, NEAR_LOWER_CHANNEL, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",94.59
"MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",94.59
"RSI_DIVERGENCE, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",94.59
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, FIBONACCI_SUPPORT, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H",94.59
"RSI_DIVERGENCE, MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, CYPHER_PATTERN",93.69
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL",93.69
"RSI_DIVERGENCE, MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",93.69
"RSI_DIVERGENCE, FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",93.69
"MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",93.69
"RSI_DIVERGENCE, EMA_CONDITION, FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",93.69
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",93.69
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",92.79
"EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",92.79
"EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",92.79
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H",92.79
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",92.79
"RSI_DIVERGENCE, MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",92.79
"RSI_DIVERGENCE, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",92.79
"RSI_DIVERGENCE, EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",92.79
"RSI_DIVERGENCE, MACD_VOLUME, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",92.79
"RSI_DIVERGENCE, EMA_CONDITION, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",92.79
